+--------------------------------------------------------------------+--------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------+
| ID                                                                 | Name                                                               | Description                                                                                                                                                                                                                                                                                                                                                                                                      | Parent                                    |
+--------------------------------------------------------------------+--------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------+
| cqrepoured:cqr/bosses/kill_boarmage                                | [This girl is on fire]                                             | Defeat a boarmage                                                                                                                                                                                                                                                                                                                                                                                                | cqrepoured:cqr/challenger                 |
| cqrepoured:cqr/bosses/kill_giant_spider                            | [The only good spider...]                                          | ...is a dead spider! Defeat a giant spider                                                                                                                                                                                                                                                                                                                                                                       | cqrepoured:cqr/challenger                 |
| cqrepoured:cqr/bosses/kill_giant_tortoise                          | [You spin me right round...]                                       | Defeat a giant tortoise                                                                                                                                                                                                                                                                                                                                                                                          | cqrepoured:cqr/challenger                 |
| cqrepoured:cqr/bosses/kill_lich                                    | [Enough of that magic already!]                                    | Defeat a lich                                                                                                                                                                                                                                                                                                                                                                                                    | cqrepoured:cqr/challenger                 |
| cqrepoured:cqr/bosses/kill_necromancer                             | [Rise and die]                                                     | Defeat a necromancer                                                                                                                                                                                                                                                                                                                                                                                             | cqrepoured:cqr/challenger                 |
| cqrepoured:cqr/bosses/kill_nether_dragon                           | [It wasn't godzilla]                                               | Defeat a nether dragon                                                                                                                                                                                                                                                                                                                                                                                           | cqrepoured:cqr/challenger                 |
| cqrepoured:cqr/bosses/kill_pirate_captain                          | [Arrr!]                                                            | Defeat the pirate captain                                                                                                                                                                                                                                                                                                                                                                                        | cqrepoured:cqr/challenger                 |
| cqrepoured:cqr/bosses/kill_walker_king                             | [A worthy opponent]                                                | Defeat a walker king                                                                                                                                                                                                                                                                                                                                                                                             | cqrepoured:cqr/challenger                 |
| cqrepoured:cqr/challenger                                          | [Challenger of the Chocolate]                                      | Defeat a CQR Boss                                                                                                                                                                                                                                                                                                                                                                                                | cqrepoured:cqr/root                       |
| cqrepoured:cqr/champion                                            | [Champion of the Chocolate]                                        | Defeat every CQR Boss at least once                                                                                                                                                                                                                                                                                                                                                                              | cqrepoured:cqr/challenger                 |
| cqrepoured:cqr/ha_got_you                                          | [Ha! Got You!]                                                     | Get killed by a CQR mob                                                                                                                                                                                                                                                                                                                                                                                          | cqrepoured:cqr/root                       |
| cqrepoured:cqr/new_captain                                         | [Who's the captain now?]                                           | Acquire the pirate captain's weapons                                                                                                                                                                                                                                                                                                                                                                             | cqrepoured:cqr/bosses/kill_pirate_captain |
| cqrepoured:cqr/not_so_friendly                                     | [Not so friendly...]                                               | Encounter the walkers                                                                                                                                                                                                                                                                                                                                                                                            | cqrepoured:cqr/root                       |
| cqrepoured:cqr/not_so_strong                                       | [Unworthy Opponent]                                                | Lose against a CQR boss                                                                                                                                                                                                                                                                                                                                                                                          | cqrepoured:cqr/ha_got_you                 |
| cqrepoured:cqr/root                                                | [Chocolate Quest Repoured]                                         | Welcome to Chocolate Quest Repoured!                                                                                                                                                                                                                                                                                                                                                                             | -                                         |
| cqrepoured:cqr/wear_the_turtle                                     | [Wear the turtle!]                                                 | Now i'm a tank! Obtain a full set of turtle armor                                                                                                                                                                                                                                                                                                                                                                | cqrepoured:cqr/bosses/kill_giant_tortoise |
| minecraft:adventure/adventuring_time                               | [Adventuring Time]                                                 | Discover every biome                                                                                                                                                                                                                                                                                                                                                                                             | minecraft:adventure/sleep_in_bed          |
| minecraft:adventure/kill_a_mob                                     | [Monster Hunter]                                                   | Kill any hostile monster                                                                                                                                                                                                                                                                                                                                                                                         | minecraft:adventure/root                  |
| minecraft:adventure/kill_all_mobs                                  | [Monsters Hunted]                                                  | Kill one of every hostile monster                                                                                                                                                                                                                                                                                                                                                                                | minecraft:adventure/kill_a_mob            |
| minecraft:adventure/root                                           | [Adventure]                                                        | Adventure, exploration and combat                                                                                                                                                                                                                                                                                                                                                                                | -                                         |
| minecraft:adventure/shoot_arrow                                    | [Take Aim]                                                         | Shoot something with a bow and arrow                                                                                                                                                                                                                                                                                                                                                                             | minecraft:adventure/kill_a_mob            |
| minecraft:adventure/sleep_in_bed                                   | [Sweet dreams]                                                     | Change your respawn point                                                                                                                                                                                                                                                                                                                                                                                        | minecraft:adventure/root                  |
| minecraft:adventure/sniper_duel                                    | [Sniper duel]                                                      | Kill a skeleton with an arrow from more than 50 meters                                                                                                                                                                                                                                                                                                                                                           | minecraft:adventure/shoot_arrow           |
| minecraft:adventure/summon_iron_golem                              | [Hired Help]                                                       | Summon an Iron Golem to help defend a village                                                                                                                                                                                                                                                                                                                                                                    | minecraft:adventure/trade                 |
| minecraft:adventure/totem_of_undying                               | [Postmortal]                                                       | Use a Totem of Undying to cheat death                                                                                                                                                                                                                                                                                                                                                                            | minecraft:adventure/kill_a_mob            |
| minecraft:adventure/trade                                          | [What a Deal!]                                                     | Successfully trade with a Villager                                                                                                                                                                                                                                                                                                                                                                               | minecraft:adventure/root                  |
| minecraft:end/dragon_breath                                        | [You Need a Mint]                                                  | Collect dragon's breath in a glass bottle                                                                                                                                                                                                                                                                                                                                                                        | minecraft:end/kill_dragon                 |
| minecraft:end/dragon_egg                                           | [The Next Generation]                                              | Hold the Dragon Egg                                                                                                                                                                                                                                                                                                                                                                                              | minecraft:end/kill_dragon                 |
| minecraft:end/elytra                                               | [Sky's the Limit]                                                  | Find an Elytra                                                                                                                                                                                                                                                                                                                                                                                                   | minecraft:end/find_end_city               |
| minecraft:end/enter_end_gateway                                    | [Remote Getaway]                                                   | Escape the island                                                                                                                                                                                                                                                                                                                                                                                                | minecraft:end/kill_dragon                 |
| minecraft:end/find_end_city                                        | [The City at the End of the Game]                                  | Go on in, what could happen?                                                                                                                                                                                                                                                                                                                                                                                     | minecraft:end/enter_end_gateway           |
| minecraft:end/kill_dragon                                          | [Free the End]                                                     | Good luck                                                                                                                                                                                                                                                                                                                                                                                                        | minecraft:end/root                        |
