+---------------------------------------+------+------+--------------------------------+----------+
| NOTE: The Block ID is for very specific low-level purposes only!                                |
| It WILL be different in every world since Minecraft 1.7,                                        |
| because they are dynamically allocated by the game!                                             |
+---------------------------------------+------+------+--------------------------------+----------+
| Registry name                         |   ID | meta | Display name                   |    Count |
+---------------------------------------+------+------+--------------------------------+----------+
| chisel:limestone2                     | 1070 |    7 | Limestone                      |   167985 |
| chisel:marble2                        | 1073 |    7 | Marble                         |   236009 |
| chococraft:gysahl_green               | 1138 |    4 | chococraft:gysahl_green        |      408 |
| cqrepoured:spawner                    | 1199 |    0 | Spawner                        |       10 |
| cqrepoured:table_spruce               | 1191 |    0 | Spruce Table                   |        2 |
| dimdoors:rift                         | 2033 |    0 | dimdoors:rift                  |        1 |
| gravelores:aluminum_gravel_ore        | 2047 |    0 | Aluminum Gravel Ore            |       51 |
| gravelores:coal_gravel_ore            | 2035 |    0 | Coal Gravel Ore                |       39 |
| gravelores:copper_gravel_ore          | 2046 |    0 | Copper Gravel Ore              |       42 |
| gravelores:gold_gravel_ore            | 2038 |    0 | Gold Gravel Ore                |       23 |
| gravelores:iron_gravel_ore            | 2036 |    0 | Iron Gravel Ore                |       37 |
| gravelores:tin_gravel_ore             | 2042 |    0 | Tin Gravel Ore                 |       39 |
| growthcraft:salt_ore                  | 1561 |    0 | Rock Salt Ore                  |    11341 |
| growthcraft_bees:beehive              | 1611 |    2 | Bee Hive                       |        2 |
| growthcraft_bees:beehive              | 1611 |    3 | Bee Hive                       |       10 |
| growthcraft_bees:beehive              | 1611 |    5 | Bee Hive                       |        1 |
| hexxitgear:hexbiscus                  | 2034 |    0 | Hexbiscus                      |        7 |
| minecraft:air                         |    0 |    0 | minecraft:air                  | 33647568 |
| minecraft:anvil                       |  145 |    0 | Anvil                          |        1 |
| minecraft:bed                         |   26 |    0 | minecraft:bed                  |        1 |
| minecraft:bed                         |   26 |    1 | minecraft:bed                  |        3 |
| minecraft:bed                         |   26 |    2 | minecraft:bed                  |        2 |
| minecraft:bed                         |   26 |    3 | minecraft:bed                  |        3 |
| minecraft:bed                         |   26 |    8 | minecraft:bed                  |        1 |
| minecraft:bed                         |   26 |    9 | minecraft:bed                  |        3 |
| minecraft:bed                         |   26 |   10 | minecraft:bed                  |        2 |
| minecraft:bed                         |   26 |   11 | minecraft:bed                  |        2 |
| minecraft:bedrock                     |    7 |    0 | Bedrock                        |   535510 |
| minecraft:bone_block                  |  216 |    0 | Bone Block                     |      649 |
| minecraft:bone_block                  |  216 |    4 | Bone Block                     |       33 |
| minecraft:bone_block                  |  216 |    8 | Bone Block                     |       10 |
| minecraft:bookshelf                   |   47 |    0 | Oak Bookshelf                  |       27 |
| minecraft:brewing_stand               |  117 |    0 | minecraft:brewing_stand        |        1 |
| minecraft:brewing_stand               |  117 |    2 | minecraft:brewing_stand        |        1 |
| minecraft:brick_block                 |   45 |    0 | Bricks                         |      633 |
| minecraft:brick_stairs                |  108 |    0 | Brick Stairs                   |        9 |
| minecraft:brick_stairs                |  108 |    1 | Brick Stairs                   |       10 |
| minecraft:brick_stairs                |  108 |    2 | Brick Stairs                   |       13 |
| minecraft:brick_stairs                |  108 |    3 | Brick Stairs                   |       11 |
| minecraft:brick_stairs                |  108 |    4 | Brick Stairs                   |       20 |
| minecraft:brick_stairs                |  108 |    5 | Brick Stairs                   |       19 |
| minecraft:brick_stairs                |  108 |    6 | Brick Stairs                   |       17 |
| minecraft:brick_stairs                |  108 |    7 | Brick Stairs                   |       15 |
| minecraft:brown_mushroom              |   39 |    0 | Mushroom                       |       46 |
| minecraft:cake                        |   92 |    0 | minecraft:cake                 |        2 |
| minecraft:carpet                      |  171 |    0 | White Carpet                   |       16 |
| minecraft:carpet                      |  171 |    5 | Lime Carpet                    |        8 |
| minecraft:carpet                      |  171 |   10 | Purple Carpet                  |       16 |
| minecraft:carpet                      |  171 |   13 | Green Carpet                   |        8 |
| minecraft:carpet                      |  171 |   14 | Red Carpet                     |       24 |
| minecraft:carrots                     |  141 |    0 | minecraft:carrots              |        4 |
| minecraft:cauldron                    |  118 |    0 | minecraft:cauldron             |        2 |
| minecraft:chest                       |   54 |    2 | Oak Chest                      |      132 |
| minecraft:chest                       |   54 |    3 | Oak Chest                      |       13 |
| minecraft:chest                       |   54 |    4 | Oak Chest                      |        3 |
| minecraft:chest                       |   54 |    5 | Oak Chest                      |        7 |
| minecraft:clay                        |   82 |    0 | Clay                           |    62996 |
| minecraft:coal_block                  |  173 |    0 | Block of Coal                  |      352 |
| minecraft:coal_ore                    |   16 |    0 | Coal Ore                       |   133875 |
| minecraft:cobblestone                 |    4 |    0 | Cobblestone                    |    25817 |
| minecraft:cobblestone_wall            |  139 |    0 | Cobblestone Wall               |       48 |
| minecraft:cobblestone_wall            |  139 |    1 | Mossy Cobblestone Wall         |        9 |
| minecraft:cocoa                       |  127 |    0 | minecraft:cocoa                |        1 |
| minecraft:cocoa                       |  127 |    1 | minecraft:cocoa                |        3 |
| minecraft:cocoa                       |  127 |    2 | minecraft:cocoa                |        1 |
| minecraft:cocoa                       |  127 |    3 | minecraft:cocoa                |        2 |
| minecraft:cocoa                       |  127 |    4 | minecraft:cocoa                |        1 |
| minecraft:cocoa                       |  127 |    5 | minecraft:cocoa                |        2 |
| minecraft:cocoa                       |  127 |    7 | minecraft:cocoa                |        1 |
| minecraft:cocoa                       |  127 |    8 | minecraft:cocoa                |        5 |
| minecraft:cocoa                       |  127 |   10 | minecraft:cocoa                |        1 |
| minecraft:cocoa                       |  127 |   11 | minecraft:cocoa                |        2 |
| minecraft:crafting_table              |   58 |    0 | Crafting Table                 |       30 |
| minecraft:dark_oak_fence              |  191 |    0 | Dark Oak Fence                 |       36 |
| minecraft:dark_oak_stairs             |  164 |    0 | Dark Oak Wood Stairs           |       21 |
| minecraft:dark_oak_stairs             |  164 |    1 | Dark Oak Wood Stairs           |       19 |
| minecraft:dark_oak_stairs             |  164 |    2 | Dark Oak Wood Stairs           |        9 |
| minecraft:dark_oak_stairs             |  164 |    3 | Dark Oak Wood Stairs           |        9 |
| minecraft:dark_oak_stairs             |  164 |    4 | Dark Oak Wood Stairs           |       87 |
| minecraft:dark_oak_stairs             |  164 |    5 | Dark Oak Wood Stairs           |       90 |
| minecraft:dark_oak_stairs             |  164 |    6 | Dark Oak Wood Stairs           |       92 |
| minecraft:dark_oak_stairs             |  164 |    7 | Dark Oak Wood Stairs           |       89 |
| minecraft:diamond_block               |   57 |    0 | Block of Diamond               |        1 |
| minecraft:diamond_ore                 |   56 |    0 | Diamond Ore                    |    10490 |
| minecraft:dirt                        |    3 |    0 | Dirt                           |   577694 |
| minecraft:dirt                        |    3 |    1 | Coarse Dirt                    |     8570 |
| minecraft:dirt                        |    3 |    2 | Dirt                           |      371 |
| minecraft:dispenser                   |   23 |    1 | Dispenser                      |        5 |
| minecraft:dispenser                   |   23 |    3 | Dispenser                      |        6 |
| minecraft:dispenser                   |   23 |    4 | Dispenser                      |        3 |
| minecraft:dispenser                   |   23 |    5 | Dispenser                      |        6 |
| minecraft:dispenser                   |   23 |    9 | Dispenser                      |        1 |
| minecraft:double_plant                |  175 |    1 | Lilac                          |        4 |
| minecraft:double_plant                |  175 |    2 | Sunflower                      |      199 |
| minecraft:double_plant                |  175 |    4 | Rose Bush                      |       21 |
| minecraft:double_plant                |  175 |    5 | Peony                          |        5 |
| minecraft:double_plant                |  175 |   10 | Sunflower                      |      229 |
| minecraft:double_stone_slab           |   43 |    0 | minecraft:double_stone_slab    |      972 |
| minecraft:double_stone_slab           |   43 |    8 | minecraft:double_stone_slab    |       78 |
| minecraft:dropper                     |  158 |    1 | Dropper                        |        6 |
| minecraft:emerald_block               |  133 |    0 | Block of Emerald               |       13 |
| minecraft:emerald_ore                 |  129 |    0 | Emerald Ore                    |      664 |
| minecraft:ender_chest                 |  130 |    5 | Ender Chest                    |        2 |
| minecraft:farmland                    |   60 |    0 | Farmland                       |        9 |
| minecraft:farmland                    |   60 |    7 | Farmland                       |        5 |
| minecraft:fence                       |   85 |    0 | Oak Fence                      |      430 |
| minecraft:fence_gate                  |  107 |    4 | Oak Fence Gate                 |        2 |
| minecraft:fence_gate                  |  107 |    5 | Oak Fence Gate                 |        2 |
| minecraft:fence_gate                  |  107 |    7 | Oak Fence Gate                 |        2 |
| minecraft:fire                        |   51 |    0 | minecraft:fire                 |        1 |
| minecraft:fire                        |   51 |    3 | minecraft:fire                 |        1 |
| minecraft:fire                        |   51 |   14 | minecraft:fire                 |        1 |
| minecraft:fire                        |   51 |   15 | minecraft:fire                 |       35 |
| minecraft:flower_pot                  |  140 |    0 | minecraft:flower_pot           |       21 |
| minecraft:flowing_lava                |   10 |    0 | minecraft:flowing_lava         |      404 |
| minecraft:flowing_lava                |   10 |    1 | minecraft:flowing_lava         |        5 |
| minecraft:flowing_lava                |   10 |    2 | minecraft:flowing_lava         |        3 |
| minecraft:flowing_lava                |   10 |    4 | minecraft:flowing_lava         |       10 |
| minecraft:flowing_lava                |   10 |    6 | minecraft:flowing_lava         |        4 |
| minecraft:flowing_lava                |   10 |   10 | minecraft:flowing_lava         |        1 |
| minecraft:flowing_lava                |   10 |   12 | minecraft:flowing_lava         |        1 |
| minecraft:flowing_water               |    8 |    1 | minecraft:flowing_water        |       18 |
| minecraft:flowing_water               |    8 |    2 | minecraft:flowing_water        |       20 |
| minecraft:flowing_water               |    8 |    3 | minecraft:flowing_water        |       20 |
| minecraft:flowing_water               |    8 |    4 | minecraft:flowing_water        |       14 |
| minecraft:flowing_water               |    8 |    5 | minecraft:flowing_water        |       17 |
| minecraft:flowing_water               |    8 |    6 | minecraft:flowing_water        |       18 |
| minecraft:flowing_water               |    8 |    7 | minecraft:flowing_water        |       17 |
| minecraft:furnace                     |   61 |    2 | Furnace                        |        1 |
| minecraft:furnace                     |   61 |    3 | Furnace                        |        6 |
| minecraft:furnace                     |   61 |    4 | Furnace                        |        1 |
| minecraft:glowstone                   |   89 |    0 | Glowstone                      |       65 |
| minecraft:gold_block                  |   41 |    0 | Block of Gold                  |        3 |
| minecraft:gold_ore                    |   14 |    0 | Gold Ore                       |    13300 |
| minecraft:grass                       |    2 |    0 | Grass Block                    |   108229 |
| minecraft:gravel                      |   13 |    0 | Gravel                         |   170048 |
| minecraft:hardened_clay               |  172 |    0 | Terracotta                     |        9 |
| minecraft:hay_block                   |  170 |    0 | Hay Bale                       |        4 |
| minecraft:hopper                      |  154 |    0 | Hopper                         |        8 |
| minecraft:hopper                      |  154 |    3 | Hopper                         |        4 |
| minecraft:ice                         |   79 |    0 | Ice                            |       14 |
| minecraft:iron_bars                   |  101 |    0 | Iron Bars                      |     1567 |
| minecraft:iron_door                   |   71 |    0 | minecraft:iron_door            |        1 |
| minecraft:iron_door                   |   71 |    0 | minecraft:iron_door            |        3 |
| minecraft:iron_door                   |   71 |    1 | minecraft:iron_door            |        6 |
| minecraft:iron_door                   |   71 |    2 | minecraft:iron_door            |        1 |
| minecraft:iron_door                   |   71 |    2 | minecraft:iron_door            |        3 |
| minecraft:iron_door                   |   71 |    3 | minecraft:iron_door            |        4 |
| minecraft:iron_door                   |   71 |    8 | minecraft:iron_door            |        2 |
| minecraft:iron_door                   |   71 |    9 | minecraft:iron_door            |        2 |
| minecraft:iron_door                   |   71 |    9 | minecraft:iron_door            |        3 |
| minecraft:iron_door                   |   71 |    9 | minecraft:iron_door            |        5 |
| minecraft:iron_door                   |   71 |    9 | minecraft:iron_door            |        6 |
| minecraft:iron_ore                    |   15 |    0 | Iron Ore                       |    67893 |
| minecraft:jukebox                     |   84 |    0 | Jukebox                        |        3 |
| minecraft:lapis_ore                   |   21 |    0 | Lapis Lazuli Ore               |    11501 |
| minecraft:lava                        |   11 |    0 | minecraft:lava                 |    87531 |
| minecraft:lava                        |   11 |    2 | minecraft:lava                 |      449 |
| minecraft:lava                        |   11 |    4 | minecraft:lava                 |      277 |
| minecraft:lava                        |   11 |    6 | minecraft:lava                 |      210 |
| minecraft:lava                        |   11 |    8 | minecraft:lava                 |       85 |
| minecraft:lava                        |   11 |   10 | minecraft:lava                 |      402 |
| minecraft:lava                        |   11 |   12 | minecraft:lava                 |      102 |
| minecraft:lava                        |   11 |   14 | minecraft:lava                 |       44 |
| minecraft:leaves                      |   18 |    0 | Oak Leaves                     |    62388 |
| minecraft:leaves                      |   18 |    1 | Spruce Leaves                  |      996 |
| minecraft:leaves                      |   18 |    2 | Birch Leaves                   |    11726 |
| minecraft:leaves                      |   18 |    3 | Jungle Leaves                  |     9376 |
| minecraft:leaves                      |   18 |    6 | Birch Leaves                   |       17 |
| minecraft:leaves                      |   18 |    7 | Jungle Leaves                  |       65 |
| minecraft:leaves                      |   18 |    8 | Oak Leaves                     |    15974 |
| minecraft:leaves                      |   18 |    9 | Spruce Leaves                  |      308 |
| minecraft:leaves                      |   18 |   10 | Birch Leaves                   |     4750 |
| minecraft:leaves                      |   18 |   11 | Jungle Leaves                  |     2790 |
| minecraft:leaves                      |   18 |   12 | Oak Leaves                     |       10 |
| minecraft:leaves                      |   18 |   14 | Birch Leaves                   |        8 |
| minecraft:leaves                      |   18 |   15 | Jungle Leaves                  |       89 |
| minecraft:leaves2                     |  161 |    4 | Acacia Leaves                  |        6 |
| minecraft:leaves2                     |  161 |   12 | Acacia Leaves                  |        8 |
| minecraft:lever                       |   69 |    1 | Lever                          |        2 |
| minecraft:lever                       |   69 |    2 | Lever                          |        1 |
| minecraft:lever                       |   69 |    3 | Lever                          |        1 |
| minecraft:lever                       |   69 |    8 | Lever                          |        1 |
